Adsorbent,Pollutant,SA (m2/g),Dav (nm),VTot (cm3/g),C (wt%),O/C,(O+N)/C,pH,T (K),C0 (mg/L),SLR (g/L),Qe (mg/g)
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,2,4.8,12.35932476
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,3,4.8,15.66854234
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,5,4.8,20.61227224
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,7,4.8,24.01527331
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,0.5,4.8,3.878617363
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,7.107449089
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,2,4.8,11.75643087
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,3,4.8,16.47240086
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,5,4.8,21.0142015
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,7,4.8,25.75696677
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.065976218
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,308.15,1,4.8,3.394706559
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,318.15,1,4.8,3.394706559
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,288.15,1,4.8,3.910136816
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.353663214
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,308.15,1,4.8,3.58649789
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,318.15,1,4.8,3.394706559
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,288.15,1,4.8,3.754664179
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.394706559
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,308.15,1,4.8,3.58649789
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,318.15,1,4.8,3.490602225
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,288.15,1,4.8,4.355425056
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.215604027
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,308.15,1,4.8,4.452153802
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,318.15,1,4.8,3.097035794
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,288.15,1,4.8,4.145693512
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.215604027
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,308.15,1,4.8,4.307603354
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,318.15,1,4.8,4.005872483
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,288.15,1,4.8,4.5651566
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.42533557
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,308.15,1,4.8,5.030355594
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,318.15,1,4.8,4.075782998
